     0.003     1.251
     0.007     1.266
     0.010     1.569
     0.013     1.765
     0.017     2.425
     0.020     2.547
     0.023     3.532
     0.027     3.546
     0.030     3.555
     0.033     3.600
     0.037     3.938
     0.040     4.134
     0.043     4.209
     0.047     4.361
     0.050     4.727
     0.053     4.753
     0.057     4.819
     0.060     4.915
     0.063     4.939
     0.067     5.111
     0.070     5.211
     0.073     5.344
     0.077     5.452
     0.080     5.840
     0.083     5.989
     0.087     6.092
     0.090     6.153
     0.093     6.186
     0.097     6.483
     0.100     6.554
     0.103     6.704
     0.107     6.820
     0.110     7.305
     0.113     7.310
     0.117     7.569
     0.120     7.573
     0.123     7.914
     0.127     7.917
     0.130     8.020
     0.133     8.027
     0.137     8.333
     0.140     8.376
     0.143     8.405
     0.147     8.490
     0.150     8.525
     0.153     8.591
     0.157     8.657
     0.160     8.694
     0.163     8.854
     0.167     8.861
     0.170     8.921
     0.173     8.931
     0.177     9.427
     0.180     9.757
     0.183     9.855
     0.187    10.011
     0.190    10.156
     0.193    10.461
     0.197    10.572
     0.200    10.616
     0.203    10.718
     0.207    10.748
     0.210    11.044
     0.213    11.167
     0.217    11.317
     0.220    11.339
     0.223    11.467
     0.227    11.543
     0.230    11.552
     0.233    12.105
     0.237    12.124
     0.240    12.191
     0.243    12.192
     0.247    12.392
     0.250    12.759
     0.253    12.788
     0.257    12.793
     0.260    12.935
     0.263    12.949
     0.267    13.104
     0.270    13.168
     0.273    13.222
     0.277    13.335
     0.280    13.513
     0.283    13.602
     0.287    13.952
     0.290    13.964
     0.293    14.086
     0.297    14.405
     0.300    14.433
     0.303    14.453
     0.307    14.470
     0.310    14.882
     0.313    14.948
     0.317    15.003
     0.320    15.040
     0.323    15.065
     0.327    15.109
     0.330    15.169
     0.333    15.374
     0.337    15.616
     0.340    15.741
     0.343    15.743
     0.347    15.744
     0.350    15.792
     0.353    15.836
     0.357    15.930
     0.360    15.954
     0.363    15.958
     0.367    16.017
     0.370    16.023
     0.373    16.077
     0.377    16.147
     0.380    16.293
     0.383    16.520
     0.387    16.526
     0.390    16.743
     0.393    16.758
     0.397    16.773
     0.400    16.937
     0.403    17.072
     0.407    17.128
     0.410    17.147
     0.413    17.153
     0.417    17.200
     0.420    17.209
     0.423    17.379
     0.427    17.495
     0.430    17.496
     0.433    17.498
     0.437    17.711
     0.440    17.895
     0.443    18.180
     0.447    18.255
     0.450    18.257
     0.453    18.312
     0.457    18.385
     0.460    18.535
     0.463    18.705
     0.467    18.878
     0.470    18.925
     0.473    19.281
     0.477    19.305
     0.480    19.368
     0.483    19.418
     0.487    19.445
     0.490    19.527
     0.493    19.541
     0.497    19.669
     0.500    19.685
     0.503    20.254
     0.507    20.292
     0.510    20.298
     0.513    20.341
     0.517    20.636
     0.520    20.893
     0.523    21.125
     0.527    21.198
     0.530    21.341
     0.533    21.560
     0.537    21.723
     0.540    21.770
     0.543    21.847
     0.547    22.097
     0.550    22.209
     0.553    22.237
     0.557    22.258
     0.560    22.280
     0.563    22.362
     0.567    22.696
     0.570    22.804
     0.573    22.882
     0.577    23.061
     0.580    23.125
     0.583    23.140
     0.587    23.145
     0.590    23.244
     0.593    23.399
     0.597    23.401
     0.600    23.529
     0.603    23.601
     0.607    23.678
     0.610    23.755
     0.613    23.795
     0.617    23.824
     0.620    24.050
     0.623    24.080
     0.627    24.088
     0.630    24.188
     0.633    24.212
     0.637    24.213
     0.640    24.335
     0.643    24.541
     0.647    24.568
     0.650    24.615
     0.653    24.623
     0.657    24.705
     0.660    24.779
     0.663    24.789
     0.667    24.815
     0.670    24.842
     0.673    24.850
     0.677    24.914
     0.680    25.111
     0.683    25.116
     0.687    25.128
     0.690    25.165
     0.693    25.334
     0.697    25.689
     0.700    25.883
     0.703    26.024
     0.707    26.535
     0.710    26.656
     0.713    26.736
     0.717    27.108
     0.720    27.153
     0.723    27.305
     0.727    27.484
     0.730    27.581
     0.733    27.618
     0.737    27.946
     0.740    28.102
     0.743    28.206
     0.747    28.795
     0.750    29.007
     0.753    29.232
     0.757    29.253
     0.760    29.386
     0.763    29.482
     0.767    29.533
     0.770    29.978
     0.773    30.242
     0.777    30.288
     0.780    30.375
     0.783    30.691
     0.787    31.127
     0.790    31.563
     0.793    31.756
     0.797    31.885
     0.800    31.997
     0.803    32.041
     0.807    32.205
     0.810    32.479
     0.813    32.511
     0.817    32.602
     0.820    33.447
     0.823    33.476
     0.827    33.632
     0.830    33.802
     0.833    34.016
     0.837    34.238
     0.840    34.487
     0.843    34.728
     0.847    35.081
     0.850    35.133
     0.853    35.320
     0.857    35.512
     0.860    35.734
     0.863    35.945
     0.867    36.396
     0.870    36.610
     0.873    36.696
     0.877    36.901
     0.880    36.904
     0.883    37.646
     0.887    37.817
     0.890    37.822
     0.893    38.038
     0.897    38.048
     0.900    38.344
     0.903    38.560
     0.907    39.372
     0.910    39.383
     0.913    39.686
     0.917    40.502
     0.920    41.491
     0.923    42.256
     0.927    42.877
     0.930    43.078
     0.933    43.614
     0.937    43.771
     0.940    43.873
     0.943    44.312
     0.947    44.378
     0.950    44.625
     0.953    44.843
     0.957    45.760
     0.960    46.371
     0.963    48.138
     0.967    48.157
     0.970    49.334
     0.973    50.885
     0.977    53.583
     0.980    54.383
     0.983    55.813
     0.987    56.683
     0.990    59.451
     0.993    62.244
     0.997    69.160
     1.000    77.979
