     0.003     0.592
     0.007     0.808
     0.010     0.824
     0.013     1.005
     0.017     1.025
     0.020     1.052
     0.023     1.057
     0.027     1.071
     0.030     1.109
     0.033     1.120
     0.037     1.138
     0.040     1.139
     0.043     1.181
     0.047     1.190
     0.050     1.208
     0.053     1.265
     0.057     1.302
     0.060     1.320
     0.063     1.322
     0.067     1.329
     0.070     1.333
     0.073     1.376
     0.077     1.393
     0.080     1.425
     0.083     1.436
     0.087     1.445
     0.090     1.447
     0.093     1.463
     0.097     1.467
     0.100     1.467
     0.103     1.470
     0.107     1.470
     0.110     1.478
     0.113     1.488
     0.117     1.511
     0.120     1.518
     0.123     1.532
     0.127     1.537
     0.130     1.539
     0.133     1.543
     0.137     1.554
     0.140     1.582
     0.143     1.585
     0.147     1.600
     0.150     1.616
     0.153     1.620
     0.157     1.621
     0.160     1.624
     0.163     1.626
     0.167     1.638
     0.170     1.645
     0.173     1.648
     0.177     1.705
     0.180     1.727
     0.183     1.728
     0.187     1.735
     0.190     1.751
     0.193     1.763
     0.197     1.765
     0.200     1.773
     0.203     1.791
     0.207     1.818
     0.210     1.819
     0.213     1.844
     0.217     1.846
     0.220     1.851
     0.223     1.860
     0.227     1.869
     0.230     1.910
     0.233     1.929
     0.237     1.934
     0.240     1.936
     0.243     1.944
     0.247     1.945
     0.250     1.947
     0.253     1.954
     0.257     2.014
     0.260     2.020
     0.263     2.022
     0.267     2.049
     0.270     2.050
     0.273     2.055
     0.277     2.056
     0.280     2.063
     0.283     2.068
     0.287     2.069
     0.290     2.071
     0.293     2.106
     0.297     2.133
     0.300     2.155
     0.303     2.159
     0.307     2.175
     0.310     2.180
     0.313     2.208
     0.317     2.209
     0.320     2.217
     0.323     2.248
     0.327     2.260
     0.330     2.264
     0.333     2.281
     0.337     2.281
     0.340     2.282
     0.343     2.286
     0.347     2.291
     0.350     2.330
     0.353     2.333
     0.357     2.348
     0.360     2.357
     0.363     2.366
     0.367     2.373
     0.370     2.386
     0.373     2.389
     0.377     2.393
     0.380     2.399
     0.383     2.402
     0.387     2.407
     0.390     2.407
     0.393     2.415
     0.397     2.417
     0.400     2.433
     0.403     2.438
     0.407     2.444
     0.410     2.446
     0.413     2.476
     0.417     2.513
     0.420     2.514
     0.423     2.533
     0.427     2.534
     0.430     2.549
     0.433     2.555
     0.437     2.561
     0.440     2.563
     0.443     2.608
     0.447     2.622
     0.450     2.651
     0.453     2.652
     0.457     2.652
     0.460     2.663
     0.463     2.670
     0.467     2.684
     0.470     2.690
     0.473     2.699
     0.477     2.700
     0.480     2.728
     0.483     2.735
     0.487     2.768
     0.490     2.804
     0.493     2.827
     0.497     2.841
     0.500     2.841
     0.503     2.854
     0.507     2.883
     0.510     2.884
     0.513     2.893
     0.517     2.926
     0.520     2.933
     0.523     2.937
     0.527     2.948
     0.530     2.952
     0.533     2.956
     0.537     2.956
     0.540     2.961
     0.543     2.967
     0.547     2.973
     0.550     2.974
     0.553     2.983
     0.557     2.989
     0.560     2.997
     0.563     3.003
     0.567     3.013
     0.570     3.020
     0.573     3.025
     0.577     3.026
     0.580     3.057
     0.583     3.060
     0.587     3.088
     0.590     3.098
     0.593     3.099
     0.597     3.117
     0.600     3.137
     0.603     3.137
     0.607     3.158
     0.610     3.176
     0.613     3.178
     0.617     3.209
     0.620     3.231
     0.623     3.235
     0.627     3.294
     0.630     3.303
     0.633     3.317
     0.637     3.323
     0.640     3.350
     0.643     3.351
     0.647     3.353
     0.650     3.376
     0.653     3.402
     0.657     3.418
     0.660     3.427
     0.663     3.434
     0.667     3.435
     0.670     3.458
     0.673     3.480
     0.677     3.505
     0.680     3.508
     0.683     3.509
     0.687     3.519
     0.690     3.522
     0.693     3.522
     0.697     3.526
     0.700     3.539
     0.703     3.543
     0.707     3.547
     0.710     3.558
     0.713     3.561
     0.717     3.598
     0.720     3.600
     0.723     3.604
     0.727     3.609
     0.730     3.610
     0.733     3.621
     0.737     3.635
     0.740     3.640
     0.743     3.645
     0.747     3.672
     0.750     3.697
     0.753     3.708
     0.757     3.767
     0.760     3.788
     0.763     3.794
     0.767     3.801
     0.770     3.809
     0.773     3.814
     0.777     3.824
     0.780     3.849
     0.783     3.866
     0.787     3.878
     0.790     3.903
     0.793     3.955
     0.797     3.989
     0.800     4.062
     0.803     4.066
     0.807     4.078
     0.810     4.088
     0.813     4.116
     0.817     4.121
     0.820     4.131
     0.823     4.177
     0.827     4.181
     0.830     4.183
     0.833     4.192
     0.837     4.195
     0.840     4.197
     0.843     4.211
     0.847     4.229
     0.850     4.243
     0.853     4.266
     0.857     4.292
     0.860     4.340
     0.863     4.390
     0.867     4.393
     0.870     4.403
     0.873     4.483
     0.877     4.487
     0.880     4.655
     0.883     4.677
     0.887     4.750
     0.890     4.781
     0.893     4.862
     0.897     4.906
     0.900     4.914
     0.903     4.921
     0.907     5.114
     0.910     5.177
     0.913     5.296
     0.917     5.305
     0.920     5.355
     0.923     5.436
     0.927     5.438
     0.930     5.469
     0.933     5.496
     0.937     5.502
     0.940     5.580
     0.943     5.598
     0.947     5.694
     0.950     5.919
     0.953     5.960
     0.957     6.122
     0.960     6.253
     0.963     6.293
     0.967     6.388
     0.970     6.428
     0.973     6.855
     0.977     7.122
     0.980     7.123
     0.983     8.350
     0.987     8.677
     0.990     8.784
     0.993     9.224
     0.997    10.226
     1.000    12.697
